"Tendencias","Volumen de búsquedas","Inicio","Finalizada","Desglose de tendencias","Enlace a Explorar"
"argentinos jrs. - racing","100 mil+","9 de agosto de 2026 a las 19:20:00 UTC-3",,"argentinos jrs. - racing,racing,racing vs,racing club,racing vs argentinos juniors,racing hoy,argentinos juniors,argentinos vs racing,argentinos jrs. vs. racing,argentinos,argentinos juniors vs racing club,racing argentinos,argentinos racing,kevin gutierrez,argentinos vs,argentinos juniors hoy","./explore?q=argentinos%20jrs.%20-%20racing&geo=AR"
"quini 6","100 mil+","9 de agosto de 2026 a las 21:30:00 UTC-3",,"quini 6,quini 6 resultados,controlar quini 6,quini 6 3 millones de dolares,resultados quini 6,quini 6: controlar,resultado del quini 6,resultado quini 6,quini 6 9 de agosto,numeros del quini 6,resultados del quini 6,sorteo quini seis,quini 6 sorteo especial,quini 6 hoy,quini 6 de hoy domingo,ganadores del quini 6,sorteo quini6,quini6,sorteo quini 6,quini 6 de hoy,quini,quini 6 controlar,sorteo del quini 6,resultado del quini 6 del domingo 9 de agosto,sorteo quini 6 hoy,quini 6 resultados de hoy,quini 6 sorteos,a que hora sortea el quini 6,resultado del quini 6 de hoy,datachaco,que numeros salieron en el quini 6,9 de agosto,quini 6 en vivo,sorteo del quini 6 de hoy,a que hora se sortea el quini 6,quini 6 sorteo 3398,resultados quini 6 hoy,numeros del quini 6 de hoy,quini 6 domingo 9 de agosto 2026,resultados del quini 6 de hoy,quini 6 hoy en vivo,loteria de santa fe,quini 6 hoy resultados,quini 6 a que hora sortea,tu jugada quini 6,resultado quini 6 hoy","./explore?q=quini%206&geo=AR"
"san lorenzo - huracán","100 mil+","9 de agosto de 2026 a las 14:10:00 UTC-3",,"san lorenzo - huracán,san lorenzo vs huracán,san lorenzo,huracan,huracan vs san lorenzo,jordy caicedo,san lorenzo huracan,huracan san lorenzo,san lorenzo vs,san lorenzo hoy,huracan vs,san lorenzo vs huracan,san lorenzo vs. huracán,caicedo,caicedo huracan,historial san lorenzo huracan,huracán,orlando gill,san lorenzo huracán,huracan hoy,huracán vs san lorenzo,huracán san lorenzo,a qué hora juega san lorenzo,club atlético huracán,casla,cómo va san lorenzo,san lorenzo de almagro,a qué hora juega san lorenzo huracán,huracán vs,a que hora juega san lorenzo hoy","./explore?q=san%20lorenzo%20-%20hurac%C3%A1n&geo=AR"
"defensa y justicia - newell's","50 mil+","9 de agosto de 2026 a las 17:00:00 UTC-3",,"defensa y justicia - newell's,newells,defensa y justicia,nob,newells hoy,defensa y justicia vs. newell's,newells vs,defensa y justicia vs,defensa y justicia vs newell's","./explore?q=defensa%20y%20justicia%20-%20newell%27s&geo=AR"
"telekino","20 mil+","9 de agosto de 2026 a las 18:10:00 UTC-3",,"telekino,telekino 2440,sorteo telekino hoy","./explore?q=telekino&geo=AR"
"gimnasia - barracas central","20 mil+","9 de agosto de 2026 a las 17:00:00 UTC-3",,"gimnasia - barracas central,gimnasia,gimnasia vs,gimnasia hoy,gimnasia y esgrima la plata,gimnasia vs. barracas central,gimnasia vs barracas,gimnasia barracas","./explore?q=gimnasia%20-%20barracas%20central&geo=AR"
"anses","20 mil+","10 de agosto de 2026 a las 0:00:00 UTC-3",,"anses,mi anses cuando cobro,administración nacional de la seguridad social","./explore?q=anses&geo=AR"
"posiciones de san martín de tucumán contra san martin de san juan","20 mil+","9 de agosto de 2026 a las 20:10:00 UTC-3",,"posiciones de san martín de tucumán contra san martin de san juan,san martín de tucumán - san martín,san martin de tucuman,primera nacional","./explore?q=posiciones%20de%20san%20mart%C3%ADn%20de%20tucum%C3%A1n%20contra%20san%20martin%20de%20san%20juan&geo=AR"
"posiciones de colon de santa fe contra club atlético san telmo","20 mil+","9 de agosto de 2026 a las 17:40:00 UTC-3",,"posiciones de colon de santa fe contra club atlético san telmo,colón - san telmo,colon,colon de santa fe,colon vs,colon vs san telmo","./explore?q=posiciones%20de%20colon%20de%20santa%20fe%20contra%20club%20atl%C3%A9tico%20san%20telmo&geo=AR"
"méxico","20 mil+","9 de agosto de 2026 a las 13:40:00 UTC-3","10 de agosto de 2026 a las 9:10:00 UTC-3","méxico","./explore?q=m%C3%A9xico&geo=AR"
"boeing 787","10 mil+","9 de agosto de 2026 a las 12:10:00 UTC-3",,"boeing 787","./explore?q=boeing%20787&geo=AR"
"perro","10 mil+","9 de agosto de 2026 a las 12:40:00 UTC-3",,"perro","./explore?q=perro&geo=AR"
"cuenta d n i","10 mil+","9 de agosto de 2026 a las 13:10:00 UTC-3","10 de agosto de 2026 a las 9:50:00 UTC-3","cuenta d n i,cuenta dni","./explore?q=cuenta%20d%20n%20i&geo=AR"
"capital humano","10 mil+","9 de agosto de 2026 a las 12:20:00 UTC-3","10 de agosto de 2026 a las 2:20:00 UTC-3","capital humano,volver al trabajo","./explore?q=capital%20humano&geo=AR"
"godoy cruz - chaco for ever","10 mil+","9 de agosto de 2026 a las 15:50:00 UTC-3","9 de agosto de 2026 a las 20:40:00 UTC-3","godoy cruz - chaco for ever,godoy cruz","./explore?q=godoy%20cruz%20-%20chaco%20for%20ever&geo=AR"
"dia del niño 2026","10 mil+","9 de agosto de 2026 a las 10:00:00 UTC-3","9 de agosto de 2026 a las 16:30:00 UTC-3","dia del niño 2026,dia del niño,día del niño,cuándo es el día del niño,cuando es el día del niño,dia del niño argentina","./explore?q=dia%20del%20ni%C3%B1o%202026&geo=AR"
"terremoto","5 mil+","9 de agosto de 2026 a las 17:00:00 UTC-3",,"terremoto","./explore?q=terremoto&geo=AR"
"o'higgins - deportes limache","5 mil+","9 de agosto de 2026 a las 15:20:00 UTC-3","10 de agosto de 2026 a las 0:50:00 UTC-3","o'higgins - deportes limache","./explore?q=o%27higgins%20-%20deportes%20limache&geo=AR"
"descubrimiento","5 mil+","9 de agosto de 2026 a las 11:20:00 UTC-3","9 de agosto de 2026 a las 23:20:00 UTC-3","descubrimiento","./explore?q=descubrimiento&geo=AR"
"deportivo morón - acassuso","5 mil+","9 de agosto de 2026 a las 14:40:00 UTC-3","9 de agosto de 2026 a las 18:50:00 UTC-3","deportivo morón - acassuso,posiciones de deportivo morón contra club atlético acassuso,moron vs","./explore?q=deportivo%20mor%C3%B3n%20-%20acassuso&geo=AR"
"liverpool - mónaco","5 mil+","9 de agosto de 2026 a las 10:20:00 UTC-3","9 de agosto de 2026 a las 17:40:00 UTC-3","liverpool - mónaco","./explore?q=liverpool%20-%20m%C3%B3naco&geo=AR"
"gimnasia y tiro de salta - nueva chicago","5 mil+","9 de agosto de 2026 a las 17:10:00 UTC-3","9 de agosto de 2026 a las 21:10:00 UTC-3","gimnasia y tiro de salta - nueva chicago,gimnasia y tiro,nueva chicago","./explore?q=gimnasia%20y%20tiro%20de%20salta%20-%20nueva%20chicago&geo=AR"
"kick","5 mil+","9 de agosto de 2026 a las 19:00:00 UTC-3","9 de agosto de 2026 a las 22:20:00 UTC-3","kick","./explore?q=kick&geo=AR"
"sergio massa","2 mil+","9 de agosto de 2026 a las 12:40:00 UTC-3",,"sergio massa","./explore?q=sergio%20massa&geo=AR"
"anya taylor-joy","2 mil+","9 de agosto de 2026 a las 13:00:00 UTC-3",,"anya taylor-joy","./explore?q=anya%20taylor-joy&geo=AR"
"progresar","2 mil+","10 de agosto de 2026 a las 0:10:00 UTC-3",,"progresar,progresar 2026","./explore?q=progresar&geo=AR"
"precio","2 mil+","10 de agosto de 2026 a las 0:00:00 UTC-3",,"precio","./explore?q=precio&geo=AR"
"condena","2 mil+","9 de agosto de 2026 a las 20:20:00 UTC-3",,"condena","./explore?q=condena&geo=AR"
"santos - paranaense","2 mil+","9 de agosto de 2026 a las 17:40:00 UTC-3","9 de agosto de 2026 a las 23:50:00 UTC-3","santos - paranaense","./explore?q=santos%20-%20paranaense&geo=AR"
"murio leandro rud","2 mil+","9 de agosto de 2026 a las 18:00:00 UTC-3","10 de agosto de 2026 a las 1:20:00 UTC-3","murio leandro rud","./explore?q=murio%20leandro%20rud&geo=AR"
"flamengo - vitória","2 mil+","9 de agosto de 2026 a las 19:00:00 UTC-3","9 de agosto de 2026 a las 22:40:00 UTC-3","flamengo - vitória,flamengo,brasileirao","./explore?q=flamengo%20-%20vit%C3%B3ria&geo=AR"
"palmeiras - internacional","2 mil+","9 de agosto de 2026 a las 15:10:00 UTC-3","9 de agosto de 2026 a las 20:50:00 UTC-3","palmeiras - internacional,palmeiras vs","./explore?q=palmeiras%20-%20internacional&geo=AR"
"chino volpato enfermedad","2 mil+","9 de agosto de 2026 a las 18:00:00 UTC-3","10 de agosto de 2026 a las 0:50:00 UTC-3","chino volpato enfermedad,chino volpato cancer","./explore?q=chino%20volpato%20enfermedad&geo=AR"
"benfica - académico de viseu futebol clube","2 mil+","9 de agosto de 2026 a las 16:00:00 UTC-3","9 de agosto de 2026 a las 21:20:00 UTC-3","benfica - académico de viseu futebol clube","./explore?q=benfica%20-%20acad%C3%A9mico%20de%20viseu%20futebol%20clube&geo=AR"
"nacional - boston river","2 mil+","9 de agosto de 2026 a las 17:50:00 UTC-3","9 de agosto de 2026 a las 23:50:00 UTC-3","nacional - boston river","./explore?q=nacional%20-%20boston%20river&geo=AR"
"los andes - ferro","2 mil+","9 de agosto de 2026 a las 14:10:00 UTC-3","9 de agosto de 2026 a las 18:10:00 UTC-3","los andes - ferro,temperley,los andes vs,los andes vs ferro","./explore?q=los%20andes%20-%20ferro&geo=AR"
"u. la calera - colo-colo","2 mil+","9 de agosto de 2026 a las 18:30:00 UTC-3","10 de agosto de 2026 a las 0:20:00 UTC-3","u. la calera - colo-colo,posiciones de u. la calera contra colo-colo","./explore?q=u.%20la%20calera%20-%20colo-colo&geo=AR"
"racing de córdoba - san miguel","2 mil+","9 de agosto de 2026 a las 15:40:00 UTC-3","9 de agosto de 2026 a las 19:20:00 UTC-3","racing de córdoba - san miguel,racing de cordoba","./explore?q=racing%20de%20c%C3%B3rdoba%20-%20san%20miguel&geo=AR"
"quilmes - almagro","2 mil+","9 de agosto de 2026 a las 16:40:00 UTC-3","9 de agosto de 2026 a las 20:20:00 UTC-3","quilmes - almagro,quilmes vs","./explore?q=quilmes%20-%20almagro&geo=AR"
"atlanta - temperley","2 mil+","9 de agosto de 2026 a las 13:40:00 UTC-3","9 de agosto de 2026 a las 17:30:00 UTC-3","atlanta - temperley","./explore?q=atlanta%20-%20temperley&geo=AR"
"cruzeiro - mirassol","2 mil+","9 de agosto de 2026 a las 10:20:00 UTC-3","9 de agosto de 2026 a las 16:10:00 UTC-3","cruzeiro - mirassol","./explore?q=cruzeiro%20-%20mirassol&geo=AR"
"colegiales - patronato","2 mil+","9 de agosto de 2026 a las 14:40:00 UTC-3","9 de agosto de 2026 a las 18:20:00 UTC-3","colegiales - patronato,patronato,colegiales","./explore?q=colegiales%20-%20patronato&geo=AR"
"el cronista","2 mil+","9 de agosto de 2026 a las 16:30:00 UTC-3","9 de agosto de 2026 a las 21:10:00 UTC-3","el cronista","./explore?q=el%20cronista&geo=AR"
"jorge macri","1 mil+","10 de agosto de 2026 a las 8:00:00 UTC-3",,"jorge macri","./explore?q=jorge%20macri&geo=AR"
"colombia","1 mil+","10 de agosto de 2026 a las 8:30:00 UTC-3",,"colombia","./explore?q=colombia&geo=AR"
"paz vega","1 mil+","9 de agosto de 2026 a las 14:20:00 UTC-3",,"paz vega","./explore?q=paz%20vega&geo=AR"
"cena de nominados","1 mil+","10 de agosto de 2026 a las 8:30:00 UTC-3",,"cena de nominados,telefe en vivo","./explore?q=cena%20de%20nominados&geo=AR"
"feriado agosto 2026","1 mil+","9 de agosto de 2026 a las 18:50:00 UTC-3",,"feriado agosto 2026","./explore?q=feriado%20agosto%202026&geo=AR"
"eclipse solar del 12 de agosto de 2026","1 mil+","9 de agosto de 2026 a las 16:20:00 UTC-3","9 de agosto de 2026 a las 22:30:00 UTC-3","eclipse solar del 12 de agosto de 2026","./explore?q=eclipse%20solar%20del%2012%20de%20agosto%20de%202026&geo=AR"
"guillermo barros schelotto","1 mil+","9 de agosto de 2026 a las 10:40:00 UTC-3","9 de agosto de 2026 a las 20:00:00 UTC-3","guillermo barros schelotto","./explore?q=guillermo%20barros%20schelotto&geo=AR"
"bragantino - corinthians","1 mil+","9 de agosto de 2026 a las 18:00:00 UTC-3","9 de agosto de 2026 a las 22:40:00 UTC-3","bragantino - corinthians","./explore?q=bragantino%20-%20corinthians&geo=AR"
"automovilismo","1 mil+","9 de agosto de 2026 a las 15:30:00 UTC-3","9 de agosto de 2026 a las 22:10:00 UTC-3","automovilismo","./explore?q=automovilismo&geo=AR"
"américa - atlético nacional","1 mil+","9 de agosto de 2026 a las 22:00:00 UTC-3","10 de agosto de 2026 a las 1:30:00 UTC-3","américa - atlético nacional,américa de cali","./explore?q=am%C3%A9rica%20-%20atl%C3%A9tico%20nacional&geo=AR"
"marcelo gallardo","1 mil+","9 de agosto de 2026 a las 14:50:00 UTC-3","9 de agosto de 2026 a las 20:20:00 UTC-3","marcelo gallardo,matías gallardo","./explore?q=marcelo%20gallardo&geo=AR"
"horóscopo chino","1 mil+","9 de agosto de 2026 a las 14:50:00 UTC-3","9 de agosto de 2026 a las 20:00:00 UTC-3","horóscopo chino","./explore?q=hor%C3%B3scopo%20chino&geo=AR"
"bahía - vasco da gama","1 mil+","9 de agosto de 2026 a las 15:40:00 UTC-3","9 de agosto de 2026 a las 20:00:00 UTC-3","bahía - vasco da gama","./explore?q=bah%C3%ADa%20-%20vasco%20da%20gama&geo=AR"
"tirante","1 mil+","9 de agosto de 2026 a las 14:30:00 UTC-3","9 de agosto de 2026 a las 18:30:00 UTC-3","tirante","./explore?q=tirante&geo=AR"
"palmeiras","1 mil+","9 de agosto de 2026 a las 16:40:00 UTC-3","9 de agosto de 2026 a las 19:10:00 UTC-3","palmeiras","./explore?q=palmeiras&geo=AR"
