"Tendencias","Volumen de búsquedas","Inicio","Finalizada","Desglose de tendencias","Enlace a Explorar"
"grêmio x internacional","1 M+","3 de septiembre de 2026 a las 18:30:00 UTC-3",,"grêmio x internacional,gremio x internacional,filip krovinović,gremio,krovinovic,grenal,grêmio e internacional,gremio x inter,internacional,grêmio,gremio x,jogo do grêmio,jogo do gremio,grenal hoje,inter,grenal copa do brasil,grêmio-internacional,carlos vinícius,inter x gremio,jogo gremio,grêmio x internacional onde assistir,gremio hoje,jogo do grêmio hoje,inter e gremio,gremio e inter,inter x,gremio fc,grêmio vs internacional,resultado do grenal,grêmio - internacional,gremio e internacional,gremio onde assistir,onde assistir grêmio x internacional,jogo gremio hoje,onde assistir gremio x inter,jogo gremio x inter,gremio x inter onde assistir,gremio x internacional onde assistir,grêmio e inter,placar grenal,grêmio x,jogo inter,grenal ao vivo,jogo grenal,onde assistir grêmio e internacional,placar do grenal,onde assistir gremio x internacional,estatísticas de grêmio x internacional,resultado grenal,gremio inter,jogo do internacional,onde assistir gremio hoje,grêmio x internacional minuto a minuto,onde assistir grêmio-internacional,resultado do jogo do grêmio-internacional,onde assistir o jogo do grêmio hoje,resultado do jogo grêmio-internacional,gremio x inter copa do brasil,inter-grêmio,alan patrick,grêmio x inter,jogo grenal hoje,escalações de grêmio x internacional,jogos de grêmio,onde assistir o grenal hoje,jogo grêmio,placar do jogo do grêmio,jogo gremio e inter,onde assistir grêmio e inter,internacional-grêmio,grêmio hoje,jogo inter hoje,jogo internacional,grenal placar,inter gremio,jogo do grêmio-internacional,grêmio internacional,onde vai passar o grenal da copa do brasil,gremio vs inter,gre,onde assistir grenal hoje,onde vai passar o grenal hoje,inter e grêmio,onde assistir o jogo do grêmio,grêmio x internacional: onde assistir,sport club internacional,gremio ao vivo,inter vs gremio,jogo do inter-grêmio,gremio e internacional onde assistir,jogo do gremio onde assistir,krovinovic gremio,onde vai passar o jogo do grêmio,grêmio x internacional onde assistir ao vivo,jogo do grêmio e inter,internacional onde assistir,onde assistir gremio,grenal de hoje,gremio vs,copa do brasil 2026 jogos de hoje,valsa,onde assistir o grenal da copa do brasil,jogo do grenal,carlos vinicius,gremio e inter onde assistir,jogo inter e gremio,grêmio x internacional ao vivo,inter x gremio copa do brasil,qual canal vai passar o jogo do grêmio,carlos vinicius gremio,jogo do grêmio ao vivo,jogo do gremio hoje,jogo do grêmio hoje ao vivo,resultado do jogo do grêmio e inter,onde vai passar o jogo do grêmio hoje,onde assistir grêmio e internacional hoje,onde assistir inter-grêmio,internacional e grêmio,onde vai passar gremio x inter,grêmio onde assistir,onde assistir inter e grêmio,amuzu,gremio internacional,grêmio e internacional onde assistir,inter x grêmio,onde está passando o jogo do grêmio,grenal copa do brasil onde assistir,jogo do grêmio e internacional,internacional x gremio,grenal copa do brasil placar,gremio onde assistir hoje,inter jogo,grêmio-internacional onde assistir","./explore?q=gr%C3%AAmio%20x%20internacional&geo=BR"
"receita federal do brasil","50 mil+","3 de septiembre de 2026 a las 12:40:00 UTC-3",,"receita federal do brasil","./explore?q=receita%20federal%20do%20brasil&geo=BR"
"classificações de náutico x botafogo sp","100 mil+","3 de septiembre de 2026 a las 22:10:00 UTC-3",,"classificações de náutico x botafogo sp,náutico x botafogo sp,nautico,náutico,nautico x,nautico x botafogo sp,jogo do náutico,botafogo sp,estatísticas de náutico x botafogo sp","./explore?q=classifica%C3%A7%C3%B5es%20de%20n%C3%A1utico%20x%20botafogo%20sp&geo=BR"
"delegado da cunha","20 mil+","3 de septiembre de 2026 a las 13:40:00 UTC-3",,"delegado da cunha,da cunha","./explore?q=delegado%20da%20cunha&geo=BR"
"diego sanches musico","20 mil+","3 de septiembre de 2026 a las 12:40:00 UTC-3",,"diego sanches musico,avenida wenceslau escobar,acidente wenceslau escobar,diego sanches","./explore?q=diego%20sanches%20musico&geo=BR"
"participante de reality show","10 mil+","3 de septiembre de 2026 a las 16:40:00 UTC-3",,"participante de reality show","./explore?q=participante%20de%20reality%20show&geo=BR"
"csa x nacional","20 mil+","3 de septiembre de 2026 a las 19:10:00 UTC-3",,"csa x nacional,csa,csa nacional am 03/09/2026,csa x,nacional fc,jogo do csa,csa hoje,brasileirão série d,nacional am","./explore?q=csa%20x%20nacional&geo=BR"
"flávia alessandra","10 mil+","3 de septiembre de 2026 a las 15:10:00 UTC-3",,"flávia alessandra","./explore?q=fl%C3%A1via%20alessandra&geo=BR"
"pesquisa lula flávio bolsonaro","20 mil+","3 de septiembre de 2026 a las 10:20:00 UTC-3",,"pesquisa lula flávio bolsonaro,pesquisa datafolha,pesquisa datafolha para presidente,pesquisa eleitoral flavio bolsonaro,datafolha pesquisa,flávio bolsonaro lula","./explore?q=pesquisa%20lula%20fl%C3%A1vio%20bolsonaro&geo=BR"
"gabarito encceja 2026","20 mil+","3 de septiembre de 2026 a las 17:10:00 UTC-3",,"gabarito encceja 2026,gov.br,gov br","./explore?q=gabarito%20encceja%202026&geo=BR"
