"Tendencias","Volumen de búsquedas","Inicio","Finalizada","Desglose de tendencias","Enlace a Explorar"
"clima","1 M+","11 de septiembre de 2026 a las 6:40:00 UTC-3","11 de septiembre de 2026 a las 10:10:00 UTC-3","clima,tiempo de mañana,ola de frío,frío,frente frío,masa de aire,meteored,clima mañana","./explore?q=clima&geo=AR"
"atlético tucumán - river plate","500 mil+","12 de septiembre de 2026 a las 17:20:00 UTC-3",,"atlético tucumán - river plate,posiciones de atlético tucumán contra river plate,atlético tucumán vs. river plate,river,river vs atletico tucuman,atletico tucuman,river hoy,river plate,river atletico tucuman,atletico tucuman vs river,river vs atlético tucumán,posiciones de river plate,river vs,a qué hora juega river,tabla anual,tobías andrada,atlético tucumán vs river,cómo va river,como va river,a que hora juega river,atlético tucumán,club atlético tucumán,tobias andrada,atletico vs river,club atlético river plate,atlético tucumán vs river plate,estadísticas de atlético tucumán contra river plate,tabla anual 2026,liga argentina,thiago almada,a que hora juega river hoy,river atlético tucumán,clever ferreira,a qué hora juega river plate,river vs tucuman,a qué hora juega river hoy,tabla de posiciones,partidos de river plate,river plate vs atlético tucumán,andrada river,qué hora juega river,futbol,river hoy en vivo,torneo argentino,atletico tucuman vs,partido de river hoy,liga profesional,partido de river,campeonato argentino,river va,que hora juega river","./explore?q=atl%C3%A9tico%20tucum%C3%A1n%20-%20river%20plate&geo=AR"
"boca juniors - central córdoba","500 mil+","11 de septiembre de 2026 a las 20:30:00 UTC-3","13 de septiembre de 2026 a las 2:30:00 UTC-3","boca juniors - central córdoba,posiciones de boca juniors contra central córdoba,boca,boca vs central cordoba,boca hoy,boca juniors vs. central córdoba,boca vs,boca juniors,boca vs central córdoba,boca central cordoba,a qué hora juega boca,central cordoba,enner valencia,jugador,a que hora juega boca,partido de boca,tabla anual,angel romero,liga argentina,a qué hora juega boca hoy,rodolfo arruabarrena,cómo va boca,como va boca,club atlético central córdoba,alineaciones de boca juniors contra central córdoba,partido de boca hoy,partidos de boca juniors,a qué hora juega boca juniors,partido boca,a que hora juega boca hoy,cómo salió boca,estadio alberto j. armando,hoy juega boca,boca en vivo,cómo va el partido de boca,boca partido,camilo rey domenech,romero boca,futbol en vivo,boca va,que hora juega boca,boca vs central,futbol argentino,partido de boca en vivo,club atlético boca juniors,angel romero boca,donde ver boca hoy,resultado de boca,cómo va boca juniors,boca juniors contra central córdoba,ángel romero","./explore?q=boca%20juniors%20-%20central%20c%C3%B3rdoba&geo=AR"
"boca juniors - são paulo","500 mil+","8 de septiembre de 2026 a las 20:30:00 UTC-3","11 de septiembre de 2026 a las 7:30:00 UTC-3","boca juniors - são paulo,boca vs sao paulo,boca,boca juniors vs. são paulo,boca san pablo,boca vs,boca vs san pablo,boca juniors,boca sao paulo,a qué hora juega boca,a que hora juega boca,leandro paredes,boca vs são paulo,partido de boca,como va boca,san pablo fc,partido de boca hoy,boca vs sao paulo 2026,merentiel,miguel merentiel,boca ayer,resultado de boca,copa sudamericana,partido boca hoy,estadísticas de boca juniors contra sao paulo fc,cómo va el partido de boca,sao paulo vs boca,sudamericana,san pablo,boca vs sao paulo hoy,futbol para todos,alineaciones de boca juniors contra sao paulo fc,boca en vivo,a qué hora juega boca juniors,boca vs sao paulo copa sudamericana,robert arboleda,partido de boca en vivo,a qué hora juega boca hoy,paredes,boca ahora,boca vs sao pablo,que hora juega boca,a que hora juega boca hoy,a qué hora juega boca san pablo,donde pasan el partido de boca,boca sao pablo,por donde pasan el partido de boca,boca juniors contra sao paulo fc,resultado boca hoy,bica vs,qué hora juega boca,pelota,boca vs sao paulo donde ver,en qué canal pasan el partido de boca,en que canal juega boca hoy,boca partidos,boca va,donde ver boca hoy,donde ver boca san pablo,leandro lozano,resultado de boca hoy,boca.,alan velasco,en que canal pasan el partido de boca hoy,boca jr,en qué canal juega boca,lautaro blanco,rodolfo arruabarrena","./explore?q=boca%20juniors%20-%20s%C3%A3o%20paulo&geo=AR"
"mirtha legrand","200 mil+","7 de septiembre de 2026 a las 11:50:00 UTC-3",,"mirtha legrand,mirtha,mirta legrand,paso,salud de mirtha legrand,cuantos años tiene mirtha legrand,juana viale,mirtha legrand edad,mirtha legrand murio,mirtha legrand hoy","./explore?q=mirtha%20legrand&geo=AR"
"franco colapinto","200 mil+","13 de septiembre de 2026 a las 10:40:00 UTC-3","13 de septiembre de 2026 a las 21:10:00 UTC-3","franco colapinto,gp de españa 2026,gran premio de españa,colapinto madrid,colapinto,gp madrid,colapinto hoy,f1,formula 1,carrera f1,madring,f1 hoy,carrera f1 hoy,a que hora corre colapinto hoy,gp españa,f1 madrid,clasificacion f1,a que hora es la carrera de f1,formula 1 hoy,f1 españa,formula 1 posiciones,steve nielsen,a que hora corre colapinto,fórmula 1,f1 horarios,f1 colapinto,qualy f1 hoy,como termino colapinto hoy,horarios f1,posiciones f1 hoy,formula 1 horario,clasificacion f1 madrid,a qué hora es la carrera de fórmula 1,f1 clasificacion,gp de españa,f1 franco colapinto,como va colapinto,cómo salió colapinto,arvid lindblad,gabriel bortoleto,f1 madrid 2026,gp f1,a qué hora corre colapinto,horario f1,a que hora es la clasificacion de f1,horario carrera f1,clasificación f1 hoy horario,diario panorama,clasificación f1,a qué hora es la clasificación de la fórmula 1,f1 qualy,lindblad,gp madrid f1,f1 gp,a qué hora es la clasificación de fórmula 1","./explore?q=franco%20colapinto&geo=AR"
"independiente - san lorenzo","100 mil+","13 de septiembre de 2026 a las 18:20:00 UTC-3",,"independiente - san lorenzo,independiente,san lorenzo,independiente hoy,independiente vs san lorenzo,independiente san lorenzo,san lorenzo hoy,independiente vs. san lorenzo,independiente vs,san lorenzo vs,san lorenzo independiente,san lorenzo vs independiente,santiago montiel","./explore?q=independiente%20-%20san%20lorenzo&geo=AR"
"newell's - vélez","100 mil+","11 de septiembre de 2026 a las 16:10:00 UTC-3","12 de septiembre de 2026 a las 15:20:00 UTC-3","newell's - vélez,emanuel mammana,newells,velez,velez hoy,futbol,newells velez,torneo argentino,velez sarsfield,newell's","./explore?q=newell%27s%20-%20v%C3%A9lez&geo=AR"
"chiche gelblung","100 mil+","8 de septiembre de 2026 a las 12:50:00 UTC-3","12 de septiembre de 2026 a las 1:00:00 UTC-3","chiche gelblung,chiche,cristina seoane,samuel gelblung,murio chiche gelblung,chiche gelblung edad,mercedes ninci,muerte,murio chiche,periodista,graciela alfano,gelblung,murió chiche,murió chiche gelblung,murio,de que murio chiche gelblung,falleció chiche gelblung,cronica,flavia miller,chiche gelblung murio,cristina seoane edad,gustavo sofovich","./explore?q=chiche%20gelblung&geo=AR"
"champions","100 mil+","8 de septiembre de 2026 a las 7:10:00 UTC-3","10 de septiembre de 2026 a las 21:10:00 UTC-3","champions,champions league,champions league 2026,sabah,manchester united vs. sabah futbol klubu,united","./explore?q=champions&geo=AR"
