"Tendencias","Volumen de búsquedas","Inicio","Finalizada","Desglose de tendencias","Enlace a Explorar"
"vasco da gama x ec vitória","500 mil+","26 de agosto de 2026 a las 19:10:00 UTC-3",,"vasco da gama x ec vitória,vasco,vasco x vitória,vasco e vitória,vitoria,vasco x vitoria,vasco x ec vitória,vitoria x vasco,copa brasil,jogo vasco,vitoria x,vasco e vitoria,vasco-vitória,vasco vs vitória,vasco da gama - ec vitória,vitória,andrés gómez,placar do jogo do vasco,vitoria e vasco,vitória-vasco,vasco vitoria,vasco x vitoria onde assistir,gustavo henrique,jogo vitoria,resultado do vasco,vasco x ec vitória minuto a minuto,vasco x vitoria copa do brasil,resultado do jogo vasco e vitória,resultado do jogo do vasco e vitória,ramon rique,vasco.,premiere,vitória e vasco,onde assistir vasco x vitória,netvasco,vitoria hoje,jogo do vitória hoje,jogo do vasco e vitória,onde assistir vasco x ec vitória,jogos de hoje copa do brasil,resultado jogo do vasco,vasco da gama x,estatísticas de vasco x ec vitória,vasco jogo,sportv ao vivo,onde assistir vasco-vitória,vasco x vitória onde assistir,onde vai passar o jogo do vasco,vasco da gama - vitória,jogo do vasco de hoje,jogo copa do brasil,jogos de hoje pela copa do brasil,jogo da copa do brasil hoje","./explore?q=vasco%20da%20gama%20x%20ec%20vit%C3%B3ria&geo=BR"
"barcelona x ath. bilbao","100 mil+","27 de agosto de 2026 a las 15:00:00 UTC-3",,"barcelona x ath. bilbao,classificações de barcelona x athletic bilbao,barcelona x athletic bilbao,jogo do barcelona,la liga,raphinha,unai simón,jogo barcelona,barcelona - ath. bilbao,barcelone – ath. bilbao,laliga","./explore?q=barcelona%20x%20ath.%20bilbao&geo=BR"
"nepal","500 mil+","26 de agosto de 2026 a las 8:20:00 UTC-3",,"nepal,o que aconteceu no nepal,onde fica nepal,avalanche nepal,inundação,desastre,nepal o que aconteceu,tragedia no nepal,tibete,nepal enchente,geleira,onde fica o nepal,tragédia no nepal,enchente no nepal,avalanche de lama nepal,terremoto nepal,avalanche,desastre no nepal,himalaia,inundação no nepal,avalanche no nepal,nepal hoje,deslizamento no nepal,enchente nepal,inundação nepal,nepal tragedia,enchentes no nepal hoje,o que aconteceu no nepal?,tsunami nepal,tsunami,terremoto no nepal,onde fica nepal em que país,cordilheira do himalaia,avalanche de lama no nepal","./explore?q=nepal&geo=BR"
"chelsea x luton town","100 mil+","27 de agosto de 2026 a las 14:40:00 UTC-3",,"chelsea x luton town,chelsea,copa da liga inglesa,chelsea x,chelsea fc,chelsea x luton,luton town","./explore?q=chelsea%20x%20luton%20town&geo=BR"
"real madrid x real sociedad","500 mil+","26 de agosto de 2026 a las 12:10:00 UTC-3",,"real madrid x real sociedad,classificações de real madrid x real sociedad,real madrid x,la liga,real madri,jogo real madrid,real x,real sociedad,jude bellingham,luka sučić,real madrid-real sociedad,onde assistir real madrid hoje,laliga,real madrid x real sociedad onde assistir,campeonato espanhol,jogos de real madrid,onde assistir real madrid,real madrid real sociedad 26/08/2026","./explore?q=real%20madrid%20x%20real%20sociedad&geo=BR"
"thalita tavares jornalista","100 mil+","26 de agosto de 2026 a las 20:10:00 UTC-3",,"thalita tavares jornalista,apresentador de televisão,thalita tavares,jornalista thalita tavares,jornalista","./explore?q=thalita%20tavares%20jornalista&geo=BR"
"carteira de identidade nacional","50 mil+","25 de agosto de 2026 a las 19:40:00 UTC-3",,"carteira de identidade nacional,carteira de identidade cin,nova carteira de identidade nacional cin","./explore?q=carteira%20de%20identidade%20nacional&geo=BR"
"tim curry","100 mil+","26 de agosto de 2026 a las 12:20:00 UTC-3",,"tim curry,brütal legend,rocky horror picture show,tim.curry,the rocky horror picture show","./explore?q=tim%20curry&geo=BR"
"ps5","100 mil+","27 de agosto de 2026 a las 16:00:00 UTC-3",,"ps5,netflix,gta 6,gta 6 netflix,trailer gta 6,ps5 pro,gta vi,gta,gta6,rockstar,flow games,netflix gta 6,lançamento gta 6,gta 6 trailer,trailer gta 6 netflix,gta 6 lançamento,que horas sai o trailer de gta 6 na netflix,gta netflix,trailer gta 6 na netflix,gta vi netflix,davy jones,netflix caiu,trailer do gta 6 na netflix,flowgames,netflix gta,grand theft auto vi,gta 6 trailer netflix,rockstar games","./explore?q=ps5&geo=BR"
"grenal","50 mil+","26 de agosto de 2026 a las 7:30:00 UTC-3",,"grenal,grenal hoje,internacional x grêmio,gremio x inter,inter x gremio,grenal copa do brasil,onde assistir internacional x grêmio,grenal horario,gremio x internacional,horario grenal,grenal hoje onde assistir,jogo da copa do brasil,copa.do.brasil,copa do brasil onde assistir","./explore?q=grenal&geo=BR"
"barcelona","50 mil+","27 de agosto de 2026 a las 15:50:00 UTC-3",,"barcelona,barcelona - athletic,barcelona vs athletic,barcelona fc,fermín lópez,barcelona vs,fc barcelona,pedri,barça,futbol club barcelona","./explore?q=barcelona&geo=BR"
"augusto cury é de esquerda ou direita","100 mil+","26 de agosto de 2026 a las 16:00:00 UTC-3",,"augusto cury é de esquerda ou direita,augusto cury é de qual partido,cury,quem é augusto cury,partido avante,cury candidato,quem e augusto cury,propostas augusto cury,augusto cury nas pesquisas,quem é augusto cury candidato a presidente,augusto cury partido,augusto cury pesquisa,augusto cury direita ou esquerda,renan santos é direita ou esquerda,partido augusto cury,augusto cury é de esquerda","./explore?q=augusto%20cury%20%C3%A9%20de%20esquerda%20ou%20direita&geo=BR"
"river plate x santa fe","100 mil+","26 de agosto de 2026 a las 20:30:00 UTC-3",,"river plate x santa fe,river plate,vasco x,river,santa fe,river plate x,river x,jogo do river plate,river plate - santa fe,jogo do vasco ontem,river x santa fe,coudet,santa fe fc,santa fé,river plate x santa fe onde assistir,river plate x independiente santa fe,river plate onde assistir,jogo river plate,river plate independiente santa fe 26/08/2026,independiente santa fé,copa do brasil chaveamento","./explore?q=river%20plate%20x%20santa%20fe&geo=BR"
"atlasintel","100 mil+","27 de agosto de 2026 a las 3:50:00 UTC-3",,"atlasintel,pesquisa presidente 2026,pesquisa eleitoral presidente 2026,pesquisas para presidente 2026,pesquisa eleitoral atlasintel,lula pesquisa eleitoral,flávio bolsonaro pesquisa eleitoral,lula flávio bolsonaro,quaest presidente,candidatos a presidente 2026,pesquisa para presidente,intenção de voto presidente 2026,candidato a presidente 2026,pesquisa presidente,paraná pesquisa para presidente 2026","./explore?q=atlasintel&geo=BR"
"santos x palmeiras","1 M+","25 de agosto de 2026 a las 19:50:00 UTC-3",,"santos x palmeiras,palmeiras e santos,copa do brasil,palmeiras-santos,santos e palmeiras,santos-palmeiras,palmeiras vs santos,palmeiras - santos,santos futebol clube,jogo do palmeiras-santos,palmeiras x santos onde assistir,santos,onde assistir palmeiras x santos,resultado de palmeiras-santos,jogo palmeiras e santos,jogo palmeiras santos onde assistir,neymar vai jogar contra o palmeiras,neymar joga hoje,jogos de hoje da copa do brasil,palmeiras santos,resultado da copa do brasil,resultado palmeiras-santos,jogo santos,onde assistir palmeiras-santos,vitor roque,jogo palmeiras x santos,jogo do santos-palmeiras,escalações de sociedade esportiva palmeiras x santos futebol clube,jogo santos e palmeiras,jogos da copa hoje,jogo palmeiras-santos,palmeiras e santos onde assistir,santos palmeiras,jogos de hoje copa do brasil,que hora é o jogo do palmeiras-santos,onde assistir palmeiras e santos,santos vs palmeiras,santos x palmeiras onde assistir,estatísticas de sociedade esportiva palmeiras x santos futebol clube,resultado copa do brasil,quanto foi o jogo palmeiras-santos,gabriel brazão,palmeiras x santos ao vivo,palmeiras vs,onde assistir palmeiras-santos hoje,jogos de hoje pela copa do brasil,neymar joga contra palmeiras,copa,que horas é o jogo do palmeiras-santos,gabigol,horário do jogo do palmeiras-santos,neymar vai jogar hoje,onde vai passar palmeiras-santos,neymar nao joga hoje,escalação santos hoje,neymar joga hoje?,escalacao santos,palmeiras-santos ontem,copa do brasil onde assistir,palmeiras-santos onde assistir,jogo hoje,onde vai passar o jogo do palmeiras-santos,horário do jogo palmeiras-santos,copa do.brasil,onde assistir santos-palmeiras,escalação do santos,palmeiras x santos: onde assistir,palmeiras-santos ao vivo,jogos do palmeiras,santos e palmeiras onde assistir,onde assistir palmeiras e santos hoje,qual canal vai passar o jogo do palmeiras-santos,qual canal vai passar palmeiras-santos,jogo copa do brasil,copa.do brasil,onde assistir copa do brasil","./explore?q=santos%20x%20palmeiras&geo=BR"
"veja","50 mil+","27 de agosto de 2026 a las 8:10:00 UTC-3",,"veja,claudia hitomi shimada furuyama,marcos furuyama,curitiba","./explore?q=veja&geo=BR"
"instabilidade caixa tem","50 mil+","26 de agosto de 2026 a las 20:30:00 UTC-3",,"instabilidade caixa tem,caixa tem fora do ar,caixa tem fora do ar hoje,caixa tem está fora do ar,caixa tem esta fora do ar,caixa tem nao esta entrando hoje,aplicativo caixa tem instabilidade,o caixa tem está fora do ar,downdetector,caixa tem nao abre,app caixa tem fora do ar,porque o caixa tem não está funcionando,aplicativo caixa tem,porque o caixa tem não está funcionando hoje,caixa tem entrar,por que o caixa tem não está funcionando,o app caixa tem está fora do ar hoje,caixa tem login,caixa tem não abre,instabilidade aplicativo caixa tem,o caixa tem está fora do ar hoje","./explore?q=instabilidade%20caixa%20tem&geo=BR"
"helicóptero","10 mil+","27 de agosto de 2026 a las 11:00:00 UTC-3",,"helicóptero","./explore?q=helic%C3%B3ptero&geo=BR"
"vitoria guedes","10 mil+","27 de agosto de 2026 a las 9:10:00 UTC-3",,"vitoria guedes","./explore?q=vitoria%20guedes&geo=BR"
"barcelona x","20 mil+","27 de agosto de 2026 a las 15:50:00 UTC-3",,"barcelona x,champions league,sorteio champions,sorteio uefa champions league,champions,sorteio da champions,champions league 2026,sorteio champions league,liga dos campeões,uefa champions league,real,sorteio champions league 26/27","./explore?q=barcelona%20x&geo=BR"
"agf x benfica","10 mil+","27 de agosto de 2026 a las 14:10:00 UTC-3",,"agf x benfica,liga europa","./explore?q=agf%20x%20benfica&geo=BR"
"yayoi kusama","10 mil+","27 de agosto de 2026 a las 0:20:00 UTC-3",,"yayoi kusama,artista plástica yayoi kusama","./explore?q=yayoi%20kusama&geo=BR"
"eclipse lunar agosto 2026","10 mil+","26 de agosto de 2026 a las 17:40:00 UTC-3",,"eclipse lunar agosto 2026,eclipse lunar,eclipse hoje,lua cheia,lua de sangue,eclipse lunar hoje,lua,lua cheia em agosto de 2026,zodíaco","./explore?q=eclipse%20lunar%20agosto%202026&geo=BR"
"quem é lito","50 mil+","26 de agosto de 2026 a las 12:50:00 UTC-3",,"quem é lito,quem e lito,quem é lito sousa,quem e lito sousa,quem é lito souza,quem é lito?,doença do lito,lito sousa idade,qual a doença do lito sousa,doença de creutzfeldt-jakob (dcj),aniversario do palmeiras,aniversário palmeiras,allianz parque,doença lito,lito doença,doença do lito sousa,o que aconteceu com lito sousa","./explore?q=quem%20%C3%A9%20lito&geo=BR"
