"Tendencias","Volumen de búsquedas","Inicio","Finalizada","Desglose de tendencias","Enlace a Explorar"
"novak djokovic","500 mil+","30 de agosto de 2026 a las 19:10:00 UTC-3",,"novak djokovic,djokovic,us open,us open tennis 2026,djokovic us open,mariano navone,us open tennis,us open 2026,navone,usopen tennis 2026,novak,us open tennis championships,us open scores,us open results,usopen,navone tennis,tennis,djokovic vs navone,tennis scores,navone age,usopen tennis,navone vs djokovic,us open djokovic,pegula tennis,mariano navone ranking,us open 2026 tennis,us open schedule 2026","./explore?q=novak%20djokovic&geo=US"
"aaron donald","200 mil+","30 de agosto de 2026 a las 17:00:00 UTC-3",,"aaron donald,myles garrett,rams depth chart,nfl news,is aaron donald coming out of retirement,deion sanders,aaron donald return,nfl games today,aaron donald age,how old is aaron donald,did aaron donald come out of retirement,when did aaron donald retire,rams,rams defense,los angeles rams,la rams,is aaron donald coming back,aaron donald contract,aaron donald news,aron donald,matthew stafford,rams news,aaron donald position,erica donald,rams d line,real,aaron donald wife,asron donald,rams defensive line,myles garrett trade,aaron donald rams,aaron fonald,rams salary cap","./explore?q=aaron%20donald&geo=US"
"ncaa football scores","200 mil+","29 de agosto de 2026 a las 7:40:00 UTC-3",,"ncaa football scores,unlv football,football games today,memphis football,fsu,when does college football start,dan mullen,what college football games are on today,college football scores today,sports on today,tcu football schedule,cfb today,college games today,football today,football on today,college football schedule today,week 0 college football,college football on tv today,bill belichick age,sling,is there college football on today","./explore?q=ncaa%20football%20scores&geo=US"
"real madrid vs málaga","200 mil+","30 de agosto de 2026 a las 11:10:00 UTC-3","31 de agosto de 2026 a las 3:30:00 UTC-3","real madrid vs málaga,real madrid vs málaga cf standings,la liga,laliga,real madrid vs,jude bellingham,real madrid vs malaga,madrid vs,kylian mbappé,real madrid cf,real madrid standings,real madrid vs málaga cf lineups,mbappe,real madrid fc,where to watch real madrid vs málaga cf,real madrid game,malaga fc,real madrid x málaga,madrid game,bellingham,la liga schedule","./explore?q=real%20madrid%20vs%20m%C3%A1laga&geo=US"
"commissioners exempt list","200 mil+","30 de agosto de 2026 a las 15:20:00 UTC-3","31 de agosto de 2026 a las 6:40:00 UTC-3","commissioners exempt list,josh jacobs news,josh jacobs suspension,marshawn lloyd,what is commissioner exempt list,josh jacobs video,will josh jacobs play this year,what is the commissioner's exempt list,commissioner exempt list,what is the commissioner's exempt list nfl,nfl commissioner exempt list,what did josh jacobs do,how long will josh jacobs be suspended,josh jacobs charges,what is the nfl commissioner's exempt list,packers news,what does commissioner exempt list mean,how long is josh jacobs out,how long is josh jacobs suspension,what is the commissioner exempt list,is josh jacobs going to play,commissioner's exempt list,josh jacobs exempt list,what is nfl commissioner exempt list,commissioner exempt list nfl,nfl exempt list,packers running backs,commissioner exempt list meaning,exempt list nfl,what's the commissioner's exempt list,josh jacobs backup,packers backup rb,josh jacobs commissioner exempt list,commissioner's exempt list nfl,commisioner exempt list,what is commissioner's exempt list nfl,packers rb,what is the nfl exempt list,josh jacobs commissioner,what is the exempt list nfl,commissioners exempt list nfl,what does it mean to be on the commissioner's exempt list,how long will josh jacobs be out,who is josh jacobs backup,josh jacobs commisioner exempt list,what is a commissioner exempt list,jacobs,what is the nfl commissioner exempt list,what is the commissioners exempt list,josh jacobs exempt,what is nfl exempt list,what did josh jacobs get charged with,commisioners exempt list,what is the commisioner exempt list,marshawn lloyd fantasy,nfl commissioner exempt list meaning,comissioner exempt list,commissioners exempt list josh jacobs,josh jacobs commissioners exempt list,is josh jacobs playing week 1,is josh jacobs suspended,nfl exempt list meaning,what does the commissioners exempt list mean","./explore?q=commissioners%20exempt%20list&geo=US"
"real madrid - málaga","200 mil+","30 de agosto de 2026 a las 11:10:00 UTC-3","30 de agosto de 2026 a las 23:30:00 UTC-3","real madrid - málaga,real madrid,posiciones de real madrid contra málaga cf,real madrid – málaga,real madrid hoy,real madrid vs. málaga,madrid,a qué hora juega el real madrid,madrid vs malaga,malaga,cuándo juega el real madrid,madrid fc","./explore?q=real%20madrid%20-%20m%C3%A1laga&geo=US"
"unc vs tcu","200 mil+","29 de agosto de 2026 a las 8:30:00 UTC-3","30 de agosto de 2026 a las 14:40:00 UTC-3","unc vs tcu,tcu,tcu vs north carolina,unc,tcu vs unc,unc tcu,ncaa,billy edwards jr,tcu game,billy edwards jr.,aer lingus college football classic,north carolina vs tcu,tcu unc,tcu score,aviva stadium,unc vs tcu prediction,billy edwards,nc vs tcu,unc game,unc football roster,north carolina vs tcu prediction,unc football score,unc score,where is tcu,belichick,tcu depth chart,nc football,unc football depth chart,tar heels football,where is tcu playing today,hulu live tv,north carolina tar heels football vs tcu horned frogs football match player stats,north carolina football roster","./explore?q=unc%20vs%20tcu&geo=US"
"pabst blue ribbon truck stolen","100 mil+","30 de agosto de 2026 a las 8:20:00 UTC-3",,"pabst blue ribbon truck stolen","./explore?q=pabst%20blue%20ribbon%20truck%20stolen&geo=US"
"grand canyon flooding","100 mil+","30 de agosto de 2026 a las 3:00:00 UTC-3",,"grand canyon flooding,grand canyon news,grand canyon,grand canyon flash flood,flash flood grand canyon,phantom ranch,grand canyon flood,phantom ranch visitors evacuated,and","./explore?q=grand%20canyon%20flooding&geo=US"
"dolly parton flag lowering debate","100 mil+","29 de agosto de 2026 a las 23:40:00 UTC-3",,"dolly parton flag lowering debate","./explore?q=dolly%20parton%20flag%20lowering%20debate&geo=US"
"white rice recall 2026","100 mil+","30 de agosto de 2026 a las 0:10:00 UTC-3",,"white rice recall 2026","./explore?q=white%20rice%20recall%202026&geo=US"
"tim mcgraw falls on stage","100 mil+","29 de agosto de 2026 a las 10:10:00 UTC-3",,"tim mcgraw falls on stage,tim mcgraw concert mishap cincinnati","./explore?q=tim%20mcgraw%20falls%20on%20stage&geo=US"
"days of thunder","100 mil+","29 de agosto de 2026 a las 14:00:00 UTC-3",,"days of thunder,days of thunder 2,randy quaid,tom cruise,kyle busch daytona international speedway,days of thunder 2028,anne hathaway","./explore?q=days%20of%20thunder&geo=US"
"military operation","100 mil+","30 de agosto de 2026 a las 9:20:00 UTC-3",,"military operation,larak island,kharg island,iran war,jordan,iran,us military strike larak island,iran war hormuz,iran news,strait of hormuz military action,iran war strikes,al jazeera,us military strikes larak island,us military strikes iranian launchers,bbc news,wirecutter,ny times","./explore?q=military%20operation&geo=US"
"micah jo barnett","100 mil+","29 de agosto de 2026 a las 17:40:00 UTC-3",,"micah jo barnett,william jewell college,micahjo barnett,william jewell football,division 2 running back,william jewell football player,college football games,william jewell,football games today college,micah jo barnett william jewell,football player dies","./explore?q=micah%20jo%20barnett&geo=US"
"nfl cuts","100 mil+","29 de agosto de 2026 a las 12:30:00 UTC-3",,"nfl cuts,nfl 53 man roster cuts,yahoo fantasy,nfl roster cuts,nfl cuts today,nfl cuts tracker,nfl roster cuts 2026,cbs fantasy football,notable nfl cuts,josh jacobs fantasy,53 man roster deadline,nfl roster cut deadline,nfl football","./explore?q=nfl%20cuts&geo=US"
"chelsea vs brighton","100 mil+","30 de agosto de 2026 a las 4:00:00 UTC-3","31 de agosto de 2026 a las 3:30:00 UTC-3","chelsea vs brighton,chelsea - brighton,chelsea,chelsea f.c,chelsea fc,premier league standings,chelsea vs,chelsea f.c. vs brighton & hove albion f.c. standings,chelsea f.c.,joao pedro,cole palmer,brighton fc,where to watch chelsea f.c. vs brighton & hove albion f.c.,roméo lavia,yalcouye,chelsea vs brighton prediction,english premier league,malick yalcouye,chelsea brighton,chelsea – brighton,romeo lavia","./explore?q=chelsea%20vs%20brighton&geo=US"
"man united vs ipswich town","100 mil+","30 de agosto de 2026 a las 11:30:00 UTC-3","31 de agosto de 2026 a las 1:20:00 UTC-3","man united vs ipswich town,manchester united,manchester united - ipswich,premier league standings,man united,man utd,manchester united f.c. vs ipswich town standings,ipswich town,man u,bruno fernandes,premier league,epl table,manchester united f.c.,bet365 promo code,man u vs ipswich,where to watch manchester united f.c. vs ipswich town,leif davis,abdul fatawu,ipswich town f.c.,bryan mbeumo,manchester united vs ipswich town,man utd vs ipswich,rashford,manchester united vs. ipswich","./explore?q=man%20united%20vs%20ipswich%20town&geo=US"
"yahoo fantasy football","100 mil+","30 de agosto de 2026 a las 12:10:00 UTC-3","30 de agosto de 2026 a las 23:40:00 UTC-3","yahoo fantasy football,fantasy football,fantasy football rankings,best defense for fantasy football 2026,fantasy pros rankings,best fantasy football picks,espn fantasy football rankings,fantasy,top fantasy football players 2026,espn fantasy football,parker washington,bhayshul tuten,adam schefter,mock draft,fantasy pros,fantasy football draft cheat sheet,college football rankings 2026,nfl fantasy rankings","./explore?q=yahoo%20fantasy%20football&geo=US"
"nm state vs florida state","100 mil+","29 de agosto de 2026 a las 19:00:00 UTC-3","30 de agosto de 2026 a las 14:50:00 UTC-3","nm state vs florida state,fsu game,fsu score,fsu vs new mexico state,new mexico state football,fsu football schedule 2026,fsu game today,florida state,new mexico state,nmsu football,florida state vs new mexico state,cw network,florida state football schedule 2026,ousmane kromah,fsu football score,florida state game,cw,florida state score,fsu schedule,the cw,quintrevion wisner,how to watch fsu football today","./explore?q=nm%20state%20vs%20florida%20state&geo=US"
"montréal vs inter miami","100 mil+","29 de agosto de 2026 a las 19:50:00 UTC-3","30 de agosto de 2026 a las 13:20:00 UTC-3","montréal vs inter miami,montréal - inter miami,messi,inter miami,inter miami vs montréal,cf montréal vs inter miami standings,lionel messi,how many goals does messi have,mls schedule,inter de miami,inter miami vs,alexander shaw,inter miami vs cf montréal lineups,inter miami cf,inter miami - montréal,inter miami vs cf montréal,casemiro,inter miami vs. montréal,mls scores,inter miami game,miami vs montreal","./explore?q=montr%C3%A9al%20vs%20inter%20miami&geo=US"
"nc state vs virginia","100 mil+","29 de agosto de 2026 a las 10:50:00 UTC-3","30 de agosto de 2026 a las 12:40:00 UTC-3","nc state vs virginia,uva football,virginia football,beau pribula,cj bailey,nc state,nc state vs virginia prediction,uva football schedule,uva vs nc state,ncsu football,virginia vs nc state,pribula,uva game,nc state game,pribula qb,tony elliott,virginia vs nc state prediction,nc state qb,virginia cavaliers football,uva football roster","./explore?q=nc%20state%20vs%20virginia&geo=US"
